KinkyDungeonCredits,크레딧
KinkyDungeonPatrons,후원자
KinkyDungeonDeviantart,뉴스 및 업데이트
KinkyDungeonPatreon,후원 @ Patreon
KinkyDungeonPatronsList,patreon.com/ada18980에서 저를 지원해주신 다음 멋진 분들께 감사드립니다.
m_Cape_l_Back,이전
m_FutureBox_l_Back,이전
m_CapeRestraint_l_Back,이전
m_LightMaidKnight_l_Back,이전
m_SlayerCape_l_Back,이전
KinkyDungeonBack,이전
m_LightMaidKnight_Apron_l_Back,이전
m_BlondeBack_l_Back,이전
KDBack,이전
m_Hair3Back_l_Back,이전
KinkyDungeonNext,다음
Language,언어
EN,영어
CN,중국어
KR,한국어
JP,일본어
ES,스페인어
FR,프랑스어
RU,러시아어
KDMods,모드
KDModsLoaded,모드가 로드되었습니다.
RestartNeededKR,재시작 필요!
KDVersion,버전
Intro,당신은 마법의 고대 지하 도시로 내려가는 모험가입니다.
Intro2,깊은 아래에는 헤아릴 수 없는 힘의 유물인 여주인의 지팡이가 있습니다.
Intro3,"미지의 세력에 맞서 승리할 것인가, 아니면 어둠의 비밀에 굴복할 것인가?"
Intro4,(이 게임에는 거미가 없습니다)
KDToggleTabGFX,GFX
KDToggleTabClothes,캐릭터
KDToggleTabMain,메인
KDToggleTabUI,UI
KDToggleTabControls,컨트롤
KDToggleTabKeybindings,키 바인딩
GameConfigKeys,키 바인딩
KDToggleTabMouseShortcuts,마우스 단축키
KDToggleFastMovePassable,NPC를 통과하는 자동 길찾기
KDToggleFastMoveDoors,문으로 자동 길찾기
KDToggleBindPercent,적 결속을 %로 표시
KDToggleAutoWaitDelayed,지연된 행동을 통한 자동 대기
KDToggleMMLabels,미니맵 레이블 표시
KDToggle,상자에서 자동 회수
KDToggleNoOutfitPalette,복장에 관계없이 팔레트 사용
KDToggleApplyPaletteRestraint,구속에 팔레트 적용
KDToggleApplyPaletteTransform,변환에 팔레트 적용
KDToggleInvLimit,(테스트) 인벤토리 제한 시행
KDToggleIgnoreApplyCharPalette,캐릭터 팔레트 사용하지 않음
KDToggleAlwaysApplyCharPalette,항상 문자 팔레트 사용
KDToggleDefaultApplyCharPalette,기본 복장에 캐릭터 팔레트 사용
KDToggleBackgrounds,배경 아트 표시
KDToggleOptRender,실험적 렌더링(불안정)
KDToggleHeadpats,히트패스 활성화
KDToggleExtraTooltipHeight,도구 설명(대부분) 전체 표시
KDToggleExtraTooltipCycle,멀티페이지 툴팁 자동 순환
KDToggleSoundOffWhenMin,최소화 시 음소거
KDToggleRawDP,% 대신 DP 표시
KDToggleOnlySelfQuickInv,퀵 인벤토리 장비는 자기 자신에게만 장착
KDToggleOverrideOutfit,세이브 로드 시 오버라이드 복장
